#depth	N	N+	N+2	N+3	N+4	N+5	N+6	N+7
 5.00000e-02	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 1.45000e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 2.30500e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 3.07450e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 3.76705e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 4.39034e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 4.95131e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 5.45618e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 5.91056e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 6.31951e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 6.68755e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 7.01880e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 7.31692e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 7.58523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 7.82670e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.04403e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.23963e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.41567e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.57410e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.71669e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.84502e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 8.96052e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.06523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.16523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.26523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.36523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.46523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.56523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.66523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.76523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.86523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
 9.95761e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.48e-30	2.57e-19	4.98e-10	1.00e+00
